nutrients;person;lowerbound;upperbound
Calories;1;0;2200
Protein;1;46;0
Carb;1;130;0
Fat;1;0;0
Fiber;1;25;0
LinoleicAcid;1;12;0
Alfa-linolenicAcid;1;1.1;0
Calcium;1;1000;0
Copper;1;900;0
Iron;1;18;0
Magnesium;1;310;0
Phosphorus;1;700;0
Selenium;1;55;0
Zinc;1;8;0
Potassium;1;2600;0
Sodium;1;1500;0
VitaminA;1;700;0
VitaminC;1;75;0
VitaminD;1;15;0
VitaminE;1;15;0
VitaminK;1;90;0
Thiamin;1;1.1;0
Riboflavin;1;1.1;0
Niacin;1;14;0
VitaminB6;1;1.3;0
Folate;1;0;0
VitaminB12;1;2.4;0
Choline;1;425;0
Calories;2;0;2500
Protein;2;34;0
Carb;2;130;0
Fat;2;0;0
Fiber;2;31;0
LinoleicAcid;2;12;0
Alfa-linolenicAcid;2;1.2;0
Calcium;2;1300;0
Copper;2;700;0
Iron;2;8;0
Magnesium;2;240;0
Phosphorus;2;1250;0
Selenium;2;40;0
Zinc;2;8;0
Potassium;2;2500;0
Sodium;2;1200;0
VitaminA;2;600;0
VitaminC;2;45;0
VitaminD;2;15;0
VitaminE;2;11;0
VitaminK;2;60;0
Thiamin;2;0.9;0
Riboflavin;2;0.9;0
Niacin;2;12;0
VitaminB6;2;1;0
Folate;2;300;0
VitaminB12;2;1.8;0
Choline;2;375;0
Calories;3;0;2200
Protein;3;34;0
Carb;3;130;0
Fat;3;0;0
Fiber;3;26;0
LinoleicAcid;3;10;0
Alfa-linolenicAcid;3;1;0
Calcium;3;1300;0
Copper;3;700;0
Iron;3;8;0
Magnesium;3;240;0
Phosphorus;3;1250;0
Selenium;3;40;0
Zinc;3;8;0
Potassium;3;2300;0
Sodium;3;1200;0
VitaminA;3;600;0
VitaminC;3;45;0
VitaminD;3;15;0
VitaminE;3;11;0
VitaminK;3;60;0
Thiamin;3;0.9;0
Riboflavin;3;0.9;0
Niacin;3;12;0
VitaminB6;3;1;0
Folate;3;300;0
VitaminB12;3;1.8;0
Choline;3;375;0
