nutrients;person;lowerbound;upperbound
Calories;1;1425;1900
Protein;1;46;0
Carb;1;130;0
Fat;1;0;0
Fiber;1;21;0
LinoleicAcid;1;11;0
Alfa-linolenicAcid;1;1.1;0
Calcium;1;1200;0
Copper;1;900;0
Iron;1;8;0
Magnesium;1;320;0
Phosphorus;1;700;0
Selenium;1;55;0
Zinc;1;8;0
Potassium;1;2600;0
Sodium;1;1500;0
VitaminA;1;700;0
VitaminC;1;75;0
VitaminD;1;20;0
VitaminE;1;15;0
VitaminK;1;90;0
Thiamin;1;1.1;0
Riboflavin;1;1.1;0
Niacin;1;14;0
VitaminB6;1;1.5;0
Folate;1;400;0
VitaminB12;1;2.4;0
Choline;1;425;0
