Recipe,Meal,Day,Person,Servings
Apple-Stuffed Squash,1,1,1,2.740384615384615
Apple-Stuffed Squash,1,2,1,2.740384615384615
Apple-Stuffed Squash,1,5,1,2.7403846153846154
Apple-Stuffed Squash,1,7,1,2.7403846153846154
Baked Pork Chops,2,1,1,2.6942925194071976
Black Beans,2,4,1,2.2265624999999996
Easy Oven Packet Caribbean Tilapia with Pears and Carnival Roasted Potatoes,3,3,1,1.2742144259953578
Fiesta Lettuce Wraps and Pepper Boats,2,2,1,1.645195693391116
Microwave Baked Apple,1,3,1,1.6493055555555556
Old Fashioned Bread Pudding,1,4,1,0.9253246753246758
Old Fashioned Bread Pudding,1,6,1,0.9252599035971406
Orange Pork Chops,2,7,1,2.273936170212766
Oven Fried Fish,3,5,1,2.1163366336633658
Oven Roasted Chicken,2,3,1,1.6749241206927332
Pork Loin Roast with Veggies,3,7,1,1.8668122270742353
Quick Chili,3,4,1,1.9256756756756754
Rainbow Bell Pepper Boats with Garbanzo Beans and Kale,3,1,1,1.401618736767819
Roast Chicken,3,6,1,1.3702402636828863
Spinach and Meat Cakes,3,2,1,1.0739248525340068
Tuscan Potato Skillet,2,5,1,2.068548387096774
Vegetable Chili,2,6,1,1.8354800936768145
