Name,Total Calories (kcal),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Total Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Monounsaturated Fat (g),Polyunsaturated Fat (g),Linoleic Acid (g),α-Linolenic Acid (g),Omega 3 - EPA (mg),Omega 3 - DHA (mg),Copper (mcg),Magnesium (mg),Phosphorus (mg),Selenium (mcg),Zinc (mg),Vitamin A (mcg),Vitamin B6 (mg),Vitamin B12 (mcg),Vitamin C (mg),Vitamin E (mg),Vitamin K (mcg),Folate (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Choline (mg),Vitamin B12 (mg),Copper (mg),Selenium (mg),Vitamin D (mg),Zinc (mcg),Iron (g),Phosphorus (mcg)
2-Step Chicken,181,10,2,48,537,5,0,0,17,0,19,1,164,4,3,2,0.2,5,10,125,18,137,15,1,36,0.3,0.2,0,1,7,4,0,0.1,7,50,0,0,0,0,0,0,0
20-Minute Chicken Creole,76,3,0,21,251,6,2,3,8,0,34,1,427,1,1,1,0.1,1,1,90,20,74,8,0,25,0.4,0,34,1,12,16,0.3,0.1,3,24,0,0,0,0,0,0,0
3-Can Chili,129,1,0,0,418,27,6,4,6,0,61,2,473,0,1,0,0.1,0,0,196,45,126,4,1,14,0.2,0,15,1,4,57,0.5,0.1,2,36,0,0,0,0,0,0,0
5 A Day Bulgur Wheat,647,10,1,0,745,112,31,18,33,0,171,9,1159,3,4,4,0.2,0,0,889,169,530,13,5,154,0.6,0,36,2,70,316,0.4,0.3,4,152,0,0,0,0,0,0,0
5 A Day Salad,99,1,0,0,100,21,8,10,5,0,119,2,1166,0,0,0,0.1,0,0,305,80,142,1,1,818,0.6,0,129,2,261,181,0.2,0.3,2,48,0,0,0,0,0,0,0
A Simple Mexican Salad,46,0,0,0,306,11,2,8,1,0,42,0,274,0,0,0,0,0,0,106,20,32,1,0,16,0.1,0,43,0,8,36,0.1,0.1,0,12,0,0,0,0,0,0,0
Angel Food Cake,152,0,0,0,104,33,0,25,5,0,4,1,107,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,32,0.1,0.2,1,1,0,25000,10000,0,0,0,0
Angel Food Pastry with Fresh Berries and Whipped Cream,161,2,1,2,259,34,2,25,4,0,108,0,160,0,0,0,0.1,0,0,57,15,152,5,0,5,0,0.2,18,0,2,30,0,0.2,0,9,0,0,0,0,0,0,0
Anytime Pizza,180,7,3,15,502,18,2,4,11,0,251,1,335,2,0,0,0.1,0,0,0,29,212,0,1,0,0.2,0.7,22,0,11,58,0.2,0.2,2,18,0,160000,11000,0,0,0,0
Apple & Chicken Salad,290,8,2,65,330,34,4,12,25,0,56,2,553,2,3,6,0.7,7,14,140,38,208,19,1,70,0.6,0.3,7,1,43,36,0.1,0.2,10,69,0,0,0,0,0,0,0
Apple Banana Salad with Peanuts,330,17,3,5,90,42,8,26,10,0,99,2,810,7,5,5,0.2,0,0,325,96,176,4,2,282,0.4,0.1,15,3,186,152,0.2,0.2,5,40,0,0,0,0,0,0,0
Apple Cake,272,11,7,72,106,40,1,22,4,0,63,1,76,3,1,1,0.1,0,7,59,8,69,11,0,102,0,0.1,3,0,1,62,0.2,0.2,1,43,0,0,0,0,0,0,0
Apple Carrot Soup,116,2,1,27,220,13,3,9,12,0,37,1,296,1,0,0,0,0,0,130,23,108,16,1,303,0.3,0.3,5,0,6,9,0.2,0.1,4,46,0,0,0,0,0,0,0
Apple Chunk Cake,240,6,1,31,312,45,2,27,3,0,14,1,98,2,2,2,0.3,0,5,55,9,45,10,0,15,0.1,0.1,3,1,6,66,0.2,0.2,1,29,0,0,0,0,0,0,0
Apple Corn Chili,360,11,3,35,140,48,9,15,20,0,100,3,897,6,2,2,0.2,4,8,365,97,307,13,2,27,0.6,0.2,46,2,11,112,0.4,0.2,8,88,0,0,0,0,0,0,0
Apple Oatmeal Muffins,125,1,0,0,133,28,2,14,3,0,101,1,105,0,0,0,0,0,0,56,16,88,6,1,13,0,0.1,1,0,1,34,0.1,0.1,1,8,0,0,0,0,0,0,0
Apple Pistachio Crisp,330,10,2,0,60,60,7,25,5,0,47,2,416,5,3,3,0.2,0,0,262,46,135,9,1,62,0.2,0,8,1,11,15,0.2,0.1,1,19,0,0,0,0,0,0,0
Apple Salad with Sweet & Tangy Yogurt Dressing,68,0,0,1,28,16,1,12,2,0,49,0,207,0,0,0,0,0,0,53,10,47,1,0,81,0.1,0.1,2,0,5,8,0,0.1,0,6,0,0,0,0,0,0,0
