Group,Age,Carbohydrates (g),Dietary Fiber (g),Linoleic Acid (g),Î±-Linolenic Acid (g),Protein (g),house_1,house_2,house_3,house_4
Children,4–8 y,130,25,10,0.9,19,1,0,0,0
Males,9–13 y,130,31,12,1.2,34,0,1,0,0
Males,14–18 y,130,38,16,1.6,52,1,0,0,0
Males,19–30 y,130,38,17,1.6,56,0,0,0,2
Males,31–50 y,130,38,17,1.6,56,1,0,0,0
Females,9–13 y,130,26,10,1,34,1,1,0,0
Females,19–30 y,130,25,12,1.1,46,0,1,0,0
Females,31–50 y,130,25,12,1.1,46,1,0,0,0
Females,51–70 y,130,21,11,1.1,46,1,0,0,0
Females,> 70 y,130,21,11,1.1,46,0,0,1,0
