,Name,Total Calories (kcal),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Total Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Monounsaturated Fat (g),Polyunsaturated Fat (g),Linoleic Acid (g),α-Linolenic Acid (g),Omega 3 - EPA (mg),Omega 3 - DHA (mg),Copper (mcg),Magnesium (mg),Phosphorus (mg),Selenium (mcg),Zinc (mg),Vitamin A (mcg),Vitamin B6 (mg),Vitamin B12 (mcg),Vitamin C (mg),Vitamin E (mg),Vitamin K (mcg),Folate (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Choline (mg)
178,Chicken Tortilla Casserole,1203,60,18,118,6101,109,7,46,61,11,1230,3,1945,15,23,20,2.8,2,3,398,158,1300,70,6,479,1,3.5,10,5,152,72,0.5,1.8,9,241
818,Veggie Noodles,626,9,4,16,753,110,9,7,25,0,165,6,614,2,2,1,0.2,0,0,434,86,313,86,3,586,0.3,0.1,6,2,26,403,0.9,0.6,8,48
798,Tuscan-Style Pasta with Cannellini,580,15,2,0,550,89,15,10,21,0,125,6,614,11,3,3,0.2,0,0,725,122,357,65,3,28,0.4,0,11,4,51,98,0.4,0.2,3,74
29,Arroz Con Pollo Chicken and Rice,556,33,8,94,145,35,3,4,30,0,46,3,586,13,8,7,0.5,13,66,288,54,337,26,2,119,0.7,0.5,32,1,21,123,0.4,0.3,12,105
94,Black Bean and Rice Salad,520,12,2,0,688,87,17,3,18,0,114,5,823,4,5,4,0.7,0,0,633,167,409,22,3,5,0.5,0,22,3,18,142,0.6,0.2,4,70
78,Beef & Potatoes,514,10,4,74,147,74,8,9,32,0,198,5,2125,4,0,0,0.1,0,0,511,124,512,22,7,72,1.5,3,76,0,11,79,0.4,0.5,9,136
755,Thai Pineapple and Chicken,511,12,2,70,511,69,9,14,34,0,0,0,0,5,4,3,0.2,8,17,0,0,0,0,0,119,1.2,0.3,156,3,96,110,0.4,0.3,16,125
625,Salmon Burgers and Sweet Potato Oven Fries,490,14,2,45,590,69,11,19,25,10,250,4,2025,5,5,2,0.6,557,779,0,158,598,85,3,1845,1.3,3.1,72,4,48,88,0.7,0.5,16,186
571,Pulled Pork Sandwich with Red Cabbage and Carrot Slaw,487,28,8,140,454,14,3,6,42,2,93,4,908,14,4,3,0.7,0,0,0,59,401,0,7,194,0.8,1.3,62,2,48,32,1.1,0.7,7,156
43,Baked Chicken with Vegetables,485,27,8,94,146,33,5,5,27,0,59,3,1093,11,6,5,0.3,13,66,291,69,336,20,2,579,1,0.4,33,1,17,46,0.3,0.3,10,111
529,"Pasta with Greens, Beans, and Chicken",478,6,1,44,281,77,11,3,34,0,142,6,926,2,2,2,0.3,2,3,668,148,416,70,3,145,0.7,0.1,10,3,153,133,0.4,0.3,7,92
282,Falafel with Yogurt Sandwich,475,19,3,4,408,63,12,12,18,0,190,5,614,7,8,7,0.9,0,0,551,100,363,26,3,11,0.4,0.3,7,2,26,214,0.3,0.3,2,70
83,Beef and Vegetables,471,12,5,51,141,69,5,2,22,0,49,5,598,2,1,1,0.1,0,0,271,61,262,27,5,29,0.6,0,4,2,11,196,0.4,0.2,10,74
168,Chicken Pozole Soup,466,29,8,95,855,24,6,6,27,0,74,4,569,12,7,6,0.3,13,66,264,66,306,24,3,167,0.7,0.4,5,3,21,27,0.2,0.3,10,102
718,Stuffed Green Peppers,461,15,4,84,100,55,5,10,26,0,97,4,868,5,4,4,0.3,15,8,432,73,330,39,4,87,1,1.2,135,3,25,168,0.4,0.3,12,85
367,Grilled Asparagus and Shrimp Quinoa Salad with Lemon Vinaigrette,460,16,2,115,420,51,7,6,29,0,200,6,860,14,4,4,0.4,68,100,752,192,552,33,4,96,0.6,0.8,54,6,56,216,0.4,0.4,4,156
369,Grilled Chicken and Avocado Quinoa Pilaf,460,16,2,45,240,54,7,3,28,0,60,5,1047,12,5,4,0.3,8,45,603,180,540,0,4,82,1.1,0.3,60,4,32,170,0.3,0.5,14,131
372,Grilled Pineapple Ginger Glazed Chicken with Zucchini and Peppers,460,8,2,70,396,66,7,31,34,0,98,3,833,4,1,1,0.2,8,17,455,109,362,50,2,112,1,0.3,145,2,18,89,0.4,0.3,14,103
693,Spinach and Meat Cakes,459,6,2,44,307,75,7,2,25,0,111,5,767,2,1,1,0.2,0,0,461,205,424,43,6,338,0.8,1.8,21,2,350,158,0.4,0.3,9,92
815,Veggie Bean Wrap,458,11,2,0,599,78,15,19,15,0,160,5,939,6,2,2,0.2,0,0,543,83,256,18,1,76,0.5,0,97,3,27,268,0.6,0.4,5,49
95,Black Bean and Sweet Potato Quesadillas,449,11,3,6,814,73,9,5,15,0,258,6,577,5,2,2,0.1,0,0,347,65,270,25,0,0,0,0,0,0,0,0,0,0,0,0
597,Red Beans and Rice,444,10,2,0,420,77,18,8,17,0,103,4,1018,5,3,1,0.2,0,0,619,155,406,18,3,31,0.7,0,46,1,45,162,0.5,0.3,4,93
646,Short Cut Lasagna,442,17,9,49,426,44,4,8,27,0,562,3,595,4,1,1,0.2,0,0,240,63,457,45,3,192,0.3,1.1,3,3,19,139,0.3,0.5,7,42
30,Asian Mango Chicken Wraps,440,12,3,50,570,57,9,29,29,0,250,3,762,4,2,2,0.1,5,10,366,99,388,40,0,334,0.8,0.3,96,3,43,105,0.3,0.3,12,85
32,"Asparagus, Mandarin Orange, Chicken and Rice",440,11,2,70,0,51,6,12,33,0,63,3,737,6,2,2,0.1,9,17,367,119,378,0,3,110,0.8,0.3,50,43,130,130,0.5,0.3,15,119
237,Curried Chicken with Raisins and Mushrooms,440,6,1,55,410,71,6,24,27,0,63,4,965,3,2,1,0.1,10,9,574,101,458,45,2,30,1,0.5,22,1,6,32,0.3,0.5,20,117
568,Potato Spinach Lasagna,440,12,4,70,360,63,8,12,19,0,341,4,1716,4,1,1,0.2,1,5,430,75,35,18,2,260,0.6,0.7,31,3,148,64,0.3,0.2,4,97
553,Pineapple Avocado Chicken Salad,437,10,2,57,883,60,11,8,31,0,51,4,690,4,2,2,0.1,7,14,409,102,350,56,2,189,0.9,0.2,80,2,27,95,0.4,0.3,13,92
523,Pasta Primavera II,431,6,1,7,150,77,9,13,16,0,138,4,783,1,2,1,0.2,0,0,380,82,232,49,2,217,0.5,0.1,6,5,42,243,0.6,0.5,11,54
448,Mango Berry Rotini Salad,430,15,3,5,400,65,14,18,12,0,150,2,287,8,2,1,0.2,0,0,239,49,147,18,1,115,0.3,0.3,42,3,91,54,0.2,0.3,1,22
490,Mushroom Steak Fajitas,430,16,5,60,590,46,7,4,27,0,60,2,829,4,1,1,0.1,0,0,426,78,344,51,5,87,0.8,0.9,30,2,16,87,0.3,0.5,10,94
541,"Peanut, Peach, N Pineapple Wrap",430,15,3,0,600,64,8,23,13,0,200,4,0,8,5,5,0.1,0,0,425,129,290,34,2,157,0.4,0,42,4,87,125,0.4,0.2,8,44
802,Vegetable Chili,427,8,1,0,480,78,21,18,20,0,196,7,1643,2,5,1,0.2,0,0,695,154,441,5,3,545,0.9,0,46,4,37,137,0.5,0.5,4,126
702,Springtime Cereal,426,6,1,5,297,86,10,42,13,1,235,13,832,2,2,2,0.1,3,0,458,126,403,13,2,15,0.7,0.6,55,2,3,391,0.4,0.4,5,46
164,Chicken Mole,425,29,8,94,328,14,3,1,26,0,47,3,427,12,7,6,0.3,13,66,228,48,275,25,2,148,0.6,0.4,0,3,11,50,0.3,0.3,10,95
295,Five Happiness Fried Noodles,421,8,2,76,511,73,5,5,15,0,64,5,375,4,2,2,0.1,0,0,454,75,254,64,2,126,0.2,0.2,8,1,30,398,0.9,0.5,6,77
85,Beet & White Bean Salad,420,29,6,13,454,29,7,5,14,0,169,3,562,13,9,7,1.6,0,0,463,91,275,0,2,34,0.2,0.2,3,3,12,122,0.2,0.2,1,44
158,Chicken and Spanish Rice,420,8,1,93,490,52,5,5,35,0,49,2,637,3,2,2,0.2,4,6,297,123,406,51,2,24,1.3,0.2,10,2,15,27,0.3,0.3,14,99
742,Sweet Potato Pancakes with Balsamic Maple Mushrooms,420,12,2,50,480,70,7,29,12,1,300,3,942,3,7,1,0,168,100,0,84,355,0,3,868,0.5,0.5,15,2,21,40,0.3,0.7,6,72
186,Chili Cheese Hominy,407,6,3,14,251,78,5,2,11,0,159,3,221,2,1,1,0.1,0,0,154,45,185,19,1,58,0.3,0,10,1,4,188,0.9,0.4,4,24
614,"Roasted Brussels Sprouts, Potatoes, and Chicken",400,12,3,75,370,40,6,6,35,0,207,3,1318,6,2,1,0.2,8,17,340,83,396,41,2,59,1,0.5,82,2,157,85,0.3,0.3,13,115
478,"Migas ""Crumbs""",398,21,4,187,560,38,3,2,14,1,151,3,213,11,5,4,1,0,29,147,24,225,32,1,86,0.2,0.5,8,2,11,145,0.4,0.4,3,155
230,Crunchy Berry Parfait,396,4,1,2,197,86,7,50,11,2,217,3,486,1,1,1,0.1,0,0,471,68,294,13,5,260,2.4,7.3,17,2,29,776,0.5,0.8,6,38
645,Shorba (Lamb and Peanut Soup),396,22,8,88,135,17,6,8,34,0,99,4,775,10,2,1,0.1,3,2,241,69,323,22,8,229,0.6,0,53,1,98,87,0.2,0.3,5,142
528,"Pasta with Chickpeas, Tomato, and Spinach",395,8,2,4,303,68,13,9,19,0,218,5,849,2,4,1,0.1,0,0,603,134,327,45,3,542,1,0.1,27,3,249,148,0.3,0.3,3,64
101,Black Skillet Beef with Greens and Red Potatoes,392,5,2,47,387,65,10,7,26,0,149,5,1819,2,1,0,0.1,1,0,1090,113,349,19,5,456,1.3,1.2,117,1,327,88,0.4,0.3,7,105
104,Blueberry Chicken Pasta Salad with Field Greens,390,11,2,70,0,41,7,14,32,0,62,3,486,6,2,1,0.2,8,17,281,62,218,46,1,209,0.8,0.3,55,3,132,89,0.1,0.2,12,95
256,Easy Beef Supper,390,12,5,51,394,46,9,10,25,0,97,5,958,4,1,1,0.1,2,1,380,73,278,26,5,39,0.6,0,49,2,13,117,0.4,0.3,6,89
233,Crusty Rice with Tofu and Vegetables,389,13,2,0,215,54,8,6,17,0,279,4,486,4,7,2,0.2,0,0,498,137,342,27,3,188,0.4,0,11,1,81,84,0.4,0.2,4,68
680,Spaghetti with Quick Meat Sauce,389,9,3,48,416,53,9,6,28,0,134,5,709,3,1,1,0.1,0,0,450,76,304,52,4,105,0.4,1.4,13,2,38,26,0.3,0.2,5,66
733,Surf's Up Tacos,388,16,7,38,535,42,8,5,22,0,281,2,536,4,4,3,0.4,13,59,247,84,449,30,2,0,0.4,1,5,0,0,48,0.2,0.2,5,0
160,Chicken Broccoli Alfredo,386,10,5,75,297,41,2,5,32,1,196,2,433,3,1,1,0.1,7,13,190,58,362,51,2,101,0.5,0.6,16,1,19,196,0.5,0.4,13,79
234,Cuban Beans and Rice,384,4,1,0,299,72,15,4,18,0,109,5,858,2,1,1,0.1,0,0,601,136,375,16,2,7,0.5,0.1,34,2,10,128,0.5,0.2,5,64
136,Caramelized Mushroom and Vidalia Onion Risotto,380,10,2,5,270,58,6,10,12,0,150,3,569,5,3,2,0.7,0,0,586,97,332,25,2,70,0.4,0.3,12,1,20,63,0.4,0.5,8,53
267,Easy Oven Packet Caribbean Tilapia with Pears and Carnival Roasted Potatoes,380,8,2,55,220,54,8,17,28,3,63,3,1298,5,1,1,0.1,4,106,394,85,296,45,1,20,0.7,1.5,72,2,19,58,0.3,0.2,6,76
355,Grape and Cashew Salad Sandwich,380,16,4,5,430,45,6,16,19,0,150,4,556,7,0,2,0.1,0,0,839,126,341,33,3,89,0.3,0,9,1,108,80,0.4,0.3,3,47
